	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner
240	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
241	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
242	(455) 20533- (1894)	455	1894	20533	455	1894	20533	Full	SinglePathFull
243	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
244	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
245	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
246	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
247	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
248	(37) 5967+ (893)	37	893	5967	37	893	5967	Full	SinglePathFull
249	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
250	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
251	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
252	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
253	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
254	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
255	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
256	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
257	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
258	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
259	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
260	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
261	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
262	(67) 5967+ (819)	67	819	5967	67	819	5967	Full	SinglePathFull
263	(391) 28541+ (1230)	391	1230	28541	391	1230	28541	Full	SinglePathFull
264	(26) 5151- (884)	26	884	5151	26	884	5151	Full	SinglePathFull
265	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
266	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
267	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
268	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
269	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
270	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
271	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
272	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
273	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
274	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
275	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
276	(88) 7593+ (642)	88	642	7593	88	642	7593	Full	SinglePathFull
277	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
278	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
279	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
280	(45) 5967+ (897)	45	897	5967	0	0	0	Different	Different
281	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
282	(24) 5151- (879)	24	879	5151	24	879	5151	Full	SinglePathFull
283	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
284	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
285	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
286	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
287	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
288	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
289	(24) 5151- (879)	24	879	5151	24	879	5151	Full	SinglePathFull
290	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
291	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
292	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
293	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
294	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
295	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
296	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
297	(24) 5151- (879)	24	879	5151	24	879	5151	Full	SinglePathFull
298	(24) 5151- (881)	24	881	5151	24	881	5151	Full	SinglePathFull
299	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
